id,name,address,latitude,longitude,distance,selected
ola-platform:5000057460901,Guho Medical,"Kālindipur,  Nalhati,  Nalhati - I,  Birbhum,  West Bengal,  731243,  India",,,0.49 km,False
ola-platform:5000045455278,Mukherjee Medical,"Kālindipur,  Nalhati,  Nalhati - I,  Birbhum,  West Bengal,  731243,  India",,,0.54 km,False
ola-platform:5000059587076,Apollo Pharmacy Nalhati Sub Post Office,"543,  Dr.B,  Sub Post Office,  Near,  R.Ambedkar Road,  Nalhati,  West Bengal,  731243,  India",,,0.57 km,False
ola-platform:5000055609388,Dey Medical,"Kālindipur,  Nalhati,  Nalhati - I,  Birbhum,  West Bengal,  731243,  India",,,0.62 km,False
ola-platform:5000057359732,Moni Pharmacy,"Kālindipur,  Nalhati,  Nalhati - I,  Birbhum,  West Bengal,  731243,  India",,,0.63 km,False
ola-platform:5000050140663,Saker Medical,"Kālindipur,  Nalhati,  Nalhati - I,  Birbhum,  West Bengal,  731243,  India",,,0.75 km,False
ola-platform:5000051963223,Riya Pharmacy,"Nh14,  Kālindipur,  Nalhati,  Nalhati - I,  Birbhum,  West Bengal,  731220,  India",,,1.18 km,False
ola-platform:5000059317070,A R Pharma,"Nh14,  Rampurhat,  Nalhati - I,  Birbhum,  West Bengal,  731220,  India",,,2.84 km,False
ola-platform:5000064314502,Medicine Corner,"Nh14,  Khālāsipāra,  Nalhati,  Nalhati - I,  Birbhum,  West Bengal,  731220,  India",,,7.95 km,False
ola-platform:5000061636376,Medical Syore,"Nh14,  Khālāsipāra,  Nalhati,  Nalhati - I,  Birbhum,  West Bengal,  731220,  India",,,8.03 km,False
ola-platform:5000066145837,Life Line Medical Store,"Nh14,  Khālāsipāra,  Nalhati,  Nalhati - I,  Birbhum,  West Bengal,  731220,  India",,,8.04 km,False
ola-platform:5000051054714,Bandhu Medical Store,"Nh14,  Khālāsipāra,  Nalhati,  Nalhati - I,  Birbhum,  West Bengal,  731220,  India",,,8.08 km,False
ola-platform:5000053215008,MS Medicine Supply,"Nh14,  Khālāsipāra,  Nalhati,  Nalhati - I,  Birbhum,  West Bengal,  731220,  India",,,8.10 km,False
ola-platform:5000061569836,Loknath Homeo Centre,"Durgachak New Colony,  Durgachak,  Haldia,  Purba Medinipur,  West Bengal,  721602,  India",,,0.03 km,False
ola-platform:5000052824093,Deys Medical Hall,"Durgachak New Colony,  Durgachak,  Haldia,  Purba Medinipur,  West Bengal,  721602,  India",,,0.03 km,False
ola-platform:5000057522166,Chattarjee Medical Hall,"Durgachak New Colony,  Durgachak,  Haldia,  Purba Medinipur,  West Bengal,  721602,  India",,,0.03 km,False
ola-platform:5000054667958,Medi Point,"Durgachak New Colony,  Durgachak,  Haldia,  Purba Medinipur,  West Bengal,  721602,  India",,,0.06 km,False
ola-platform:5000041902845,Usha Medical Store,"Durgachak New Colony,  Durgachak,  Haldia,  Purba Medinipur,  West Bengal,  721602,  India",,,0.07 km,False
ola-platform:5000042058727,Satya Narayan Medical Hall,"Industrial Training Institute,  Durgachak-City Center Road,  Durgachak New Colony,  Durgachak,  Haldia,  Purba Medinipur,  West Bengal,  721602,  India",,,0.15 km,False
ola-platform:5000047074080,Hahnemann Homeo Centre,"Durgachak Super Market,  Durgachak-City Center Road,  Durgachak New Colony,  Haldia,  Purba Medinipur,  West Bengal,  721602,  India",,,0.15 km,False
ola-platform:5000042960602,Sebayan Homeo Hall,"Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,0.16 km,False
ola-platform:5000051865379,Pravha Medical,"Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,0.17 km,False
ola-platform:5000051320794,RamKrishna Medical Store,"Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,0.41 km,False
ola-platform:5000040883093,Bhoumik Pharmacy,"Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,0.85 km,False
ola-platform:5000066095490,Medicine House,"Durgachak-City Center Road,  Durgachak New Colony,  Durgachak,  Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,0.92 km,False
ola-platform:5000055982035,New Dey's Medical Store,"Haldia,  West Bengal,  721602,  India",,,0.98 km,False
ola-platform:5000058468570,All Chemist Haldia Branch,"Sutahata,  Purba Medinipur,  West Bengal,  721602,  India",,,1.01 km,False
ola-platform:5000060691872,Biocare Diagnostic Centre,"HPL Link Rd,  Basudevpur,  Haldia,  West Bengal,  721602,  India",,,1.02 km,False
